time,rpm,tps,water,a/f
06:10.4,8064,36,90,13.0095
06:10.5,7999,36,91,16.7935
06:10.6,8040,27,91,17.9375
06:10.7,7838,27,91,17.2115
06:10.8,7678,27,91,19.21075
06:10.9,7581,27,91,17.62675
06:11.0,7384,27,91,17.41225
06:11.1,7025,27,91,14.929
06:11.2,6771,16,91,15.25075
06:21.3,2627,13,87,15.92175
06:21.4,3005,18,87,17.29125
06:21.5,3621,18,87,17.50575
06:21.6,4039,18,87,14.24425
06:21.7,4386,18,87,14.082
06:21.8,5030,18,87,13.3175
06:21.9,4973,7,87,11.772
06:22.0,4200,7,87,18.394
06:22.1,3934,6,87,20.473
06:22.2,2978,7,87,21.012
06:22.3,3330,81,87,20.7425
06:22.4,4745,97,87,20.99825
06:22.5,6535,26,87,16.10875
06:22.6,5578,16,87,20.9295
06:22.7,5810,24,87,20.957
06:22.8,6163,34,87,19.87075
06:22.9,7551,8,88,20.84975
06:23.0,6347,7,88,19.7635
06:23.1,5550,8,88,19.681
06:23.2,5277,8,88,20.8085
06:23.3,5051,20,88,20.957
06:23.4,5430,24,88,19.131
06:23.5,5389,21,88,13.70525
06:23.6,5322,21,88,12.39075
06:23.7,5275,21,88,15.9355
06:23.8,5217,21,88,15.89425
06:23.9,5217,21,88,15.0225
06:24.0,5234,21,88,13.8015
06:24.1,4837,6,88,15.12975
06:24.2,4515,7,88,15.4515
06:24.3,4654,12,89,19.6425
06:24.4,4726,10,89,21.03675
06:24.5,4449,10,89,19.69475
06:24.6,4450,20,89,20.12375
06:24.7,5255,25,89,14.04075
06:24.8,5476,25,89,14.79425
06:24.9,5501,24,89,13.61175
06:25.0,6487,39,89,14.016
06:25.1,7298,39,89,14.511
06:25.2,7295,13,90,20.286
06:25.3,6771,12,90,16.13625
06:25.4,6929,18,90,20.94325
06:25.5,6895,18,90,17.9485
06:25.6,6401,23,90,12.72625
06:25.7,7868,45,90,12.48425
06:25.8,7693,8,90,20.7975
06:25.9,7341,8,90,20.8635
06:26.0,7107,10,90,19.53525
06:26.1,6828,11,90,20.87725
06:26.2,7051,33,90,19.494
06:26.3,6449,16,90,12.5915
06:26.4,6449,16,90,19.84325
06:26.5,6641,37,90,16.25725
06:26.6,7048,33,90,15.8695
06:26.7,6519,7,90,16.821
06:26.8,5842,7,90,15.787
06:26.9,5797,35,90,19.681
06:27.0,6567,44,90,20.70125
06:27.1,7841,28,91,19.87075
06:27.2,7167,24,91,16.997
06:27.3,7096,34,91,15.787
06:27.4,7312,14,91,20.00275
06:27.5,7070,16,91,18.2455
06:27.6,7067,13,91,12.99575
06:27.7,8191,11,91,20.20625
06:27.8,6179,11,91,20.9295
06:27.9,5804,11,91,19.66725
06:28.0,5521,20,91,20.75625
06:28.1,7341,56,92,16.76875
06:28.2,7763,23,92,20.9295
06:28.3,8220,47,92,20.87725
06:28.4,7931,11,93,20.8085
06:28.5,7780,11,93,13.895
06:28.6,7428,41,93,13.5045
06:28.7,7637,23,93,19.7085
06:28.8,7440,18,93,20.5555
06:28.9,7225,24,93,19.318
06:29.0,6952,24,93,16.67525
06:29.1,6941,24,93,14.60725
06:29.2,6838,24,93,16.07025
06:29.3,8438,16,94,19.45275
06:29.4,7214,18,94,20.8635
06:29.5,6710,18,94,20.891
06:29.6,6663,21,94,18.7405
06:29.7,6519,23,94,15.5065
06:29.8,6555,20,94,17.34625
06:29.9,6089,22,94,20.352
06:30.0,6143,40,94,19.74975
06:30.1,7292,42,94,16.8485
06:30.2,7697,42,94,13.8125
06:30.3,7600,32,94,16.86225
06:30.4,7437,32,94,17.58825
06:30.5,7497,32,94,16.634
06:30.6,7446,32,94,14.9675
06:30.7,7908,39,94,16.47175
06:30.8,7631,17,94,18.08325
06:30.9,7506,23,94,20.286
06:31.0,7413,23,94,20.8635
06:31.1,6720,23,94,15.43775
06:31.2,6434,23,94,15.73475
06:31.3,6107,24,94,18.6085
06:31.4,6323,33,94,17.426
06:31.5,6558,33,95,16.04275
06:31.6,6623,13,95,15.292
06:31.7,5469,8,95,17.063
06:31.8,5146,10,95,18.4325
06:31.9,4722,10,95,20.24475
06:32.0,5192,54,95,19.50775
06:32.1,5996,37,95,15.07475
06:32.2,6216,37,95,12.377
06:32.3,7009,45,95,15.479
06:32.4,8016,11,95,19.50775
06:32.5,7518,11,95,20.6765
06:32.6,7312,34,95,19.5215
06:32.7,7615,19,95,14.324
06:32.8,6843,10,95,15.3855
06:32.9,6916,13,95,20.94325
06:33.0,6843,10,95,19.53525
06:33.1,6499,22,95,20.9295
06:33.2,7625,36,95,14.0545
06:33.3,7006,11,95,17.72025
06:33.4,6906,16,95,19.197
06:33.5,7292,28,95,17.04925
06:33.6,7335,28,95,11.08725
06:33.7,6555,20,95,14.18925
06:33.8,6546,20,96,16.52675
06:33.9,6355,20,96,17.063
06:34.0,6198,31,96,16.4195
06:34.1,5977,11,96,15.1435
06:34.2,5952,11,96,16.67525
06:34.3,5892,14,96,20.00275
06:34.4,5732,15,96,19.65625
06:34.5,6708,36,96,12.02775
06:34.6,7113,34,96,13.42475
06:34.7,7321,28,96,13.5045
06:34.8,7327,28,96,15.10225
06:34.9,7315,28,96,14.02975
06:35.0,7309,26,96,15.479
06:35.1,7051,23,96,14.8465
06:35.2,6159,13,96,19.923
06:35.3,6044,20,96,19.21075
06:35.4,6000,21,96,17.22525
06:35.5,6000,22,96,17.31875
06:35.6,5931,26,96,16.0565
06:35.7,6718,40,96,16.9145
06:35.8,7693,40,96,13.3835
06:35.9,8359,40,96,16.2985
06:36.0,8811,14,97,19.57375
06:36.1,7164,20,97,20.594
06:36.2,6978,28,97,18.097
06:36.3,7588,35,97,16.7825
06:36.4,7264,12,97,12.63275
06:36.5,6184,26,97,20.8635
06:36.6,6085,30,97,19.5875
06:36.7,6358,39,97,16.4855
06:36.8,7145,40,97,14.72825
06:36.9,7278,31,97,15.15725
06:37.0,6751,13,97,16.337
06:37.1,6412,12,97,14.91525
06:37.2,6521,12,97,19.54625
06:37.3,6188,12,97,15.303
06:37.4,6254,14,97,20.05775
06:37.5,5992,14,97,20.91575
06:37.6,5810,25,97,19.7745
06:37.7,6544,69,97,19.74975
06:37.8,7693,61,97,17.92375
06:37.9,7126,6,97,13.88125
06:38.0,5996,7,97,13.97475
06:38.1,6196,20,97,19.56
06:38.2,6756,42,97,20.528
06:38.3,7822,41,97,12.53925
06:38.4,6962,29,98,19.38675
06:38.5,7539,31,98,15.53125
06:38.6,7851,37,98,17.84125
06:38.7,7928,37,98,18.152
06:38.8,7566,14,98,19.17225
06:38.9,7172,16,98,19.96425
06:39.0,7214,23,98,19.5215
06:39.1,7145,29,98,19.33175
06:39.2,7378,31,98,15.37175
06:39.3,7264,31,98,16.2985
06:39.4,7425,30,98,16.634
06:39.5,7428,31,98,15.545
06:39.6,7373,31,98,15.479
06:39.7,7304,32,98,15.8805
06:39.8,7747,38,98,15.908
06:39.9,7861,38,98,17.56075
06:40.0,7205,24,99,20.9295
06:40.1,7735,58,99,19.42525
06:40.2,8289,17,99,20.7425
06:40.3,6161,15,99,15.5725
06:40.4,5763,22,99,17.305
06:40.5,5618,22,99,18.4325
06:40.6,5542,11,99,16.7935
06:40.7,4866,11,99,19.8295
06:40.8,5284,36,99,18.35275
06:40.9,5363,38,99,12.7675
06:41.0,5681,41,99,13.048
06:41.1,6863,43,99,13.94725
06:41.2,6954,43,100,15.413
06:41.3,7467,23,100,15.12975
06:41.4,7236,15,100,16.205
06:41.5,6944,16,100,16.98325
06:41.6,7332,27,100,17.47825
06:41.7,7239,28,100,14.445
06:41.8,6868,11,100,16.67525
06:41.9,6574,11,100,18.20425
06:42.0,6336,13,99,21.0505
06:42.1,6155,13,100,19.07875
06:42.2,5929,15,100,19.60125
06:42.3,5522,20,100,18.8505
06:42.4,5135,11,100,17.239
06:42.5,5006,16,100,19.66725
06:42.6,5439,28,99,21.02575
06:42.7,5664,29,99,10.71325
06:42.8,5737,29,100,12.4045
06:42.9,5742,29,100,12.6465
06:43.0,5892,29,100,15.03625
06:43.1,5996,29,100,13.69425
06:43.2,6200,32,100,15.116
06:43.3,6321,32,100,15.3305
06:43.4,6362,32,100,14.04075
06:43.5,6524,32,100,14.18925
06:43.6,6606,32,100,15.787
06:43.7,6689,19,99,14.016
06:43.8,6706,18,100,15.06375
06:43.9,6677,25,100,15.43775
06:44.0,6581,25,100,14.5935
06:44.1,6588,25,100,14.73925
06:44.2,6574,25,100,16.942
06:44.3,6674,34,100,15.8145
06:44.4,6890,35,100,15.55875
06:44.5,6983,44,100,16.40575
06:44.6,7557,10,100,16.9145
06:44.7,7267,11,100,17.53325
06:44.8,6651,27,100,20.91575
06:44.9,7011,28,100,20.05775
06:45.0,6803,28,100,11.38425
06:45.1,6944,22,100,15.413
06:45.2,7054,33,100,13.94725
06:45.3,6911,7,100,13.653
06:45.4,6691,23,100,14.02975
06:45.5,7527,33,100,20.891
06:45.6,6304,7,100,13.82625
06:45.7,6317,15,100,20.94325
06:45.8,6239,18,100,19.56
06:45.9,5996,18,100,20.044
06:46.0,5792,21,100,19.4005
06:46.1,5568,21,100,18.284
06:46.2,5479,21,100,17.80275
06:46.3,5511,21,100,16.15
06:46.4,5450,21,100,17.976
06:46.5,5517,32,100,15.53125
06:46.6,5857,35,100,16.5405
06:46.7,6334,32,100,12.135
06:46.8,6394,32,100,13.03425
06:46.9,6528,32,100,14.929
06:47.0,6492,32,100,13.94725
06:47.1,6906,22,100,14.2965
06:47.2,6798,20,100,13.57325
06:47.3,7928,44,100,12.02775
06:47.4,8522,44,100,15.8805
06:47.5,7690,10,100,20.8085
06:47.6,7491,10,100,19.60125
06:47.7,7033,10,100,20.836
06:47.8,6672,9,100,19.53525
06:47.9,6349,10,100,20.29975
06:48.0,5721,10,100,19.62875
06:48.1,5302,10,100,20.473
06:48.2,4938,8,100,20.97075
06:48.3,4542,8,100,19.6425
06:48.4,4311,8,100,20.66275
06:48.5,4044,8,100,20.8635
06:48.6,3950,8,100,19.4665
06:48.7,4457,24,100,19.66725
06:48.8,4479,24,100,16.13625
06:48.9,5038,24,100,12.67125
06:49.0,5071,19,100,13.63925
06:49.1,4736,12,100,13.03425
06:49.2,4762,8,100,15.6
06:49.3,4273,7,100,17.855
06:49.4,3817,11,100,19.50775
06:49.5,4072,21,100,20.11275
06:49.6,4146,33,100,20.649
06:49.7,4621,35,100,14.57975
06:49.8,5090,36,100,12.443
06:49.9,5182,36,100,11.02125
06:50.0,5419,37,100,12.63275
06:50.1,5620,37,100,13.29
06:50.2,5852,38,100,12.2285
06:50.3,6546,38,100,12.99575
06:50.4,7270,38,100,13.961
06:50.5,7533,38,100,15.12975
06:50.6,7709,38,100,14.9565
06:50.7,7914,39,100,14.33775
06:50.8,8012,39,100,17.063
06:50.9,8256,46,100,16.337
06:51.0,8289,7,100,19.494
06:51.1,7948,7,100,20.715
06:51.2,7690,7,100,20.77
06:51.3,7222,9,100,20.836
06:51.4,6613,10,100,20.891
06:51.5,6672,33,100,19.54625
06:51.6,7040,34,100,20.84975
06:51.7,7228,33,100,14.2965
06:51.8,7225,33,101,14.82175
06:51.9,7443,33,101,15.97675
06:52.0,7536,33,101,16.4855
06:52.1,7588,33,100,15.0885
06:52.2,7148,22,100,17.1565
06:52.3,7419,31,101,16.55425
06:52.4,7134,31,101,14.9015
06:52.5,7211,35,100,16.755
06:52.6,7449,38,101,15.303
06:52.7,7712,38,101,15.89425
06:52.8,7825,38,101,15.6935
06:52.9,8009,38,101,17.063
06:53.0,7405,20,101,19.197
06:53.1,8113,35,101,17.98975
06:53.2,7904,36,101,15.3855
06:53.3,7861,36,101,18.41875
06:53.4,8047,37,101,17.734
06:53.5,8054,37,101,18.2455
06:53.6,8123,37,101,18.78175
06:53.7,8130,37,101,17.184
06:53.8,8043,27,101,18.71575
06:53.9,7609,8,101,18.44625
06:54.0,7231,6,101,19.42525
06:54.1,6860,7,101,20.341
06:54.2,6623,7,101,19.56
06:54.3,6514,9,101,20.90475
06:54.4,6467,34,101,19.50775
06:54.5,6828,39,101,17.50575
06:54.6,6458,18,101,18.4325
06:54.7,6298,18,101,17.184
06:54.8,6188,18,101,19.11725
06:54.9,6338,24,101,17.89625
06:55.0,6073,24,101,17.3985
06:55.1,6210,24,101,15.6
06:55.2,5965,7,101,16.0565
06:55.3,5289,8,101,18.23175
06:55.4,5108,7,101,21.02575
06:55.5,5314,50,101,19.60125
06:55.6,6027,26,101,14.45875
06:55.7,5598,26,101,13.12775
06:55.8,5779,26,101,16.21875
06:55.9,5896,26,101,15.12975
06:56.0,6179,26,101,15.73475
06:56.1,6294,26,101,14.269
06:56.2,6421,31,101,16.67525
06:56.3,6555,42,101,15.19575
06:56.4,7035,43,101,15.53125
06:56.5,7524,44,101,14.72825
06:56.6,7881,44,101,11.11475
06:56.7,8223,44,101,15.89425
06:56.8,7094,7,101,19.494
06:56.9,6985,6,101,20.836
06:57.0,6627,7,101,19.56
06:57.1,6250,8,101,20.649
06:57.2,6021,10,101,19.48025
06:57.3,5779,10,101,20.94325
06:57.4,5627,10,101,20.05775
06:57.5,5389,11,101,19.494
06:57.6,5308,18,101,20.87725
06:57.7,5468,25,101,19.802
06:57.8,5419,25,101,16.9695
06:57.9,5521,25,101,17.36
06:58.0,5455,24,101,14.43125
06:58.1,4900,8,101,15.908
06:58.2,4769,9,101,18.3665
06:58.3,4875,18,101,19.681
06:58.4,4940,22,101,19.5875
06:58.5,5082,22,101,15.12975
06:58.6,5238,25,101,14.1095
06:58.7,5414,25,101,13.08925
06:58.8,5450,25,101,14.808
06:58.9,5433,25,101,14.91525
06:59.0,5504,26,101,13.961
06:59.1,5678,28,101,15.237
06:59.2,5760,29,101,14.687
06:59.3,6302,30,101,14.88775
06:59.4,6345,30,101,14.61825
06:59.5,6371,30,101,15.545
06:59.6,6377,30,101,14.86025
06:59.7,6639,36,101,15.92175
06:59.8,6931,36,101,14.48625
06:59.9,6321,13,101,15.94925
07:00.0,7080,25,101,19.5215
07:00.1,7080,14,101,19.2245
07:00.2,6256,12,101,13.06175
07:00.3,6390,16,101,20.891
07:00.4,5969,8,101,20.84975
07:00.5,5706,10,101,18.32525
07:00.6,5592,14,101,20.77
07:00.7,5349,15,101,20.87725
07:00.8,5632,25,101,20.7975
07:00.9,5511,29,101,16.1225
07:01.0,5688,34,101,15.18475
07:01.1,5946,34,101,15.413
07:01.2,6252,36,101,14.06825
07:01.3,6421,36,101,13.70525
07:01.4,6567,36,101,15.237
07:01.5,6698,34,101,14.24425
07:01.6,6855,13,101,14.18925
07:01.7,6260,7,101,14.3515
07:01.8,6034,10,101,20.77
07:01.9,5855,12,101,20.9845
07:02.0,5608,18,101,19.6425
07:02.1,5942,38,101,20.87725
07:02.2,6421,42,101,19.90925
07:02.3,6679,42,101,11.38425
07:02.4,7033,42,101,12.29725
07:02.5,7208,42,101,12.60525
07:02.6,8230,51,101,16.83475
07:02.7,8585,9,101,13.8675
07:02.8,8296,9,102,20.58025
07:02.9,7628,10,101,20.6215
07:03.0,7335,10,101,20.78375
07:03.1,6967,11,101,19.54625
07:03.2,5790,11,101,19.50775
07:03.3,5548,11,102,20.891
07:03.4,5192,11,101,19.62875
07:03.5,4899,11,101,20.99825
07:03.6,4439,11,101,20.87725
07:03.7,4209,11,101,19.54625
07:03.8,4353,34,101,18.7405
07:03.9,4634,39,101,15.06375
07:04.0,5081,39,101,14.137
07:04.1,5246,39,101,11.57125
07:04.2,5605,39,101,11.04875
07:04.3,6087,38,101,12.7125
07:04.4,6321,37,101,14.016
07:04.5,6524,37,101,14.48625
07:04.6,6672,37,101,13.719
07:04.7,6934,37,102,15.37175
07:04.8,7995,42,101,14.40375
07:04.9,8300,43,102,16.6615
07:05.0,7591,17,102,20.78375
07:05.1,7402,17,102,19.72225
07:05.2,7181,22,102,20.8085
07:05.3,6985,24,102,16.71375
07:05.4,7437,44,102,15.8695
07:05.5,7904,44,102,16.7
07:05.6,7284,13,102,19.494
07:05.7,6931,13,102,20.7425
07:05.8,6813,14,102,19.84325
07:05.9,6403,14,102,18.80925
07:06.0,6237,22,102,19.90925
07:06.1,6384,26,102,18.44625
07:06.2,6266,27,102,17.8825
07:06.3,6266,29,102,16.447
07:06.4,7515,49,102,16.0565
07:06.5,7494,7,102,17.31875
07:06.6,7512,7,102,20.29975
07:06.7,6959,20,102,20.90475
07:06.8,7390,26,102,16.392
07:06.9,6756,43,102,18.32525
07:07.0,7091,45,102,11.93425
07:07.1,9218,11,102,16.67525
07:07.2,8877,9,102,20.715
07:07.3,8604,8,102,19.439
07:07.4,8074,8,102,20.3795
07:07.5,7783,9,102,19.54625
07:07.6,6578,15,102,20.87725
07:07.7,6505,15,102,19.681
07:07.8,6245,15,102,20.5005
07:07.9,5832,15,102,19.56
07:08.0,5397,15,102,20.7975
07:08.1,5307,20,102,17.50575
07:08.2,5212,20,102,16.4855
07:08.3,5266,20,102,15.7595
07:08.4,5608,41,102,14.5385
07:08.5,6436,41,102,11.277
07:08.6,6941,41,102,14.5385
07:08.7,7170,41,102,14.21675
07:08.8,7367,31,102,15.18475
07:08.9,7072,29,102,12.69875
07:09.0,7019,29,102,13.88125
07:09.1,6962,29,102,14.324
07:09.2,7091,48,102,14.00225
07:09.3,7488,35,102,15.39925
07:09.4,6936,6,102,14.929
07:09.5,6438,6,102,15.70725
07:09.6,5159,8,102,20.8085
07:09.7,4801,8,102,20.1925
07:09.8,4586,11,102,20.94325
07:09.9,4429,11,102,19.96425
07:10.0,4384,17,102,19.5875
07:10.1,5017,31,102,20.39325
07:10.2,5038,31,102,15.303
07:10.3,5156,10,102,13.532
07:10.4,4444,8,102,17.855
07:10.5,4303,10,102,19.60125
07:10.6,4199,14,102,19.53525
07:10.7,4064,18,102,17.6955
07:10.8,4722,39,102,13.961
07:10.9,5228,39,102,13.3175
07:11.0,5266,39,102,10.8205
07:11.1,5474,40,102,12.26975
07:11.2,5514,40,102,12.4045
07:11.3,5815,40,102,13.58425
07:11.4,6175,40,102,13.42475
07:11.5,6542,40,102,12.861
07:11.6,7104,40,102,14.1755
07:11.7,7402,40,102,13.90875
07:11.8,8256,45,103,15.31675
07:11.9,8692,47,102,15.6
07:12.0,8749,7,102,13.90875
07:12.1,6931,10,102,20.8085
07:12.2,6574,10,103,19.5215
07:12.3,6200,11,103,20.836
07:12.4,5877,17,102,20.90475
07:12.5,5866,20,102,19.48025
07:12.6,5719,24,102,20.8635
07:12.7,6947,54,103,17.86875
07:12.8,6632,6,103,13.11675
07:12.9,5719,6,102,11.66475
07:13.0,6103,7,103,18.35275
07:13.1,5911,7,102,20.8085
07:13.2,6423,49,103,19.186
07:13.3,6939,49,103,12.63275
07:13.4,6323,12,103,12.0415
07:13.5,6155,12,103,15.545
07:13.6,6151,12,103,19.7635
07:13.7,5996,17,103,19.439
07:13.8,6569,45,103,20.78375
07:13.9,6535,30,103,19.78825
07:14.0,6476,24,103,11.50525
07:14.1,6321,22,103,13.048
07:14.2,6833,7,103,15.85575
07:14.3,5937,7,103,13.58425
07:14.4,6129,16,103,20.715
07:14.5,6133,16,103,19.53525
07:14.6,5937,13,103,20.75625
07:14.7,5760,13,103,18.6085
07:14.8,5787,17,103,19.494
07:14.9,5558,17,103,21.0505
07:15.0,5434,17,103,19.8845
07:15.1,5325,17,103,19.923
07:15.2,5225,17,103,20.84975
07:15.3,5125,13,103,17.2775
07:15.4,5067,13,103,19.29325
07:15.5,5070,13,103,18.4325
07:15.6,4992,13,103,19.8845
07:15.7,5002,13,103,19.72225
07:15.8,4966,13,103,17.063
07:15.9,4930,13,103,18.339
07:16.0,4847,13,103,18.6745
07:16.1,4875,13,103,18.50125
07:16.2,4837,13,103,18.50125
07:16.3,4777,19,103,18.16575
07:16.4,5196,30,103,15.89425
07:16.5,5250,30,103,16.76875
07:16.6,5537,30,103,11.7335
07:16.7,5652,24,103,10.122
07:16.8,5519,18,103,12.74
07:16.9,5676,17,103,16.13625
07:17.0,4986,8,103,19.57375
07:17.1,4623,8,103,19.681
07:17.2,4434,8,103,20.15125
07:17.3,4281,13,103,20.957
07:17.4,4589,13,103,19.53525
07:17.5,4303,13,103,20.594
07:17.6,4411,18,103,16.634
07:17.7,4625,22,103,14.57975
07:17.8,5025,22,103,14.98125
07:17.9,5064,22,103,14.04075
07:18.0,5152,24,103,12.51175
07:18.1,5151,24,103,14.2305
07:18.2,5319,26,103,14.06825
07:18.3,5472,27,103,12.79225
07:18.4,5618,38,103,14.40375
07:18.5,6604,49,103,13.78775
07:18.6,7067,49,103,12.685
07:18.7,7304,49,103,12.069
07:18.8,7668,49,103,12.6465
07:18.9,9200,11,103,14.4725
07:19.0,8700,15,103,19.5215
07:19.1,7884,13,103,19.57375
07:19.2,7625,13,103,20.715
07:19.3,7378,27,103,20.75625
07:19.4,7621,41,103,19.48025
07:19.5,7988,38,103,20.7975
07:19.6,7646,24,103,13.90875
07:19.7,7621,37,103,14.324
07:19.8,8798,49,103,17.0355
07:19.9,8378,6,103,14.70075
07:20.0,7819,7,103,12.94075
07:20.1,7731,9,103,16.755
07:20.2,6537,9,103,20.8085
07:20.3,6206,9,103,19.66725
07:20.4,5692,29,103,19.65625
07:20.5,6701,36,103,20.72875
07:20.6,5716,6,103,19.57375
07:20.7,5537,6,103,16.15
07:20.8,5674,6,103,17.47825
07:20.9,5139,7,103,21.02575
07:21.0,4970,20,103,20.82225
07:21.1,5476,28,103,19.54625
07:21.2,5607,29,103,13.15525
07:21.3,5534,26,103,14.1755
07:21.4,5492,21,103,13.9225
07:21.5,5678,21,103,14.2305
07:21.6,5535,6,103,16.31225
07:21.7,4966,6,103,16.326
07:21.8,5040,7,103,20.286
07:21.9,4944,19,103,20.82225
07:22.0,5293,22,103,19.62875
07:22.1,4935,13,103,17.77525
07:22.2,5363,50,103,16.3645
07:22.3,5038,6,103,13.36975
07:22.4,4986,12,103,17.91
07:22.5,5233,16,103,19.615
07:22.6,5233,29,103,18.2455
07:22.7,5603,30,103,14.48625
07:22.8,5673,31,103,14.5
07:22.9,5852,32,103,13.85375
07:23.0,6250,32,103,15.03625
07:23.1,6405,33,103,14.7805
07:23.2,6595,33,103,14.64575
07:23.3,6781,33,103,15.19575
07:23.4,7017,33,103,14.6595
07:23.5,7129,30,103,12.982
07:23.6,7153,30,103,13.9885
07:23.7,7181,29,103,13.1965
07:23.8,7259,20,103,14.016
07:23.9,6929,13,103,14.98125
07:24.0,6528,13,103,15.116
07:24.1,6646,20,103,16.15
07:24.2,6574,20,103,13.6255
07:24.3,6494,20,103,15.97675
07:24.4,6492,20,103,17.22525
07:24.5,6304,20,103,16.0015
07:24.6,6202,20,103,17.29125
07:24.7,6117,39,103,15.94925
07:24.8,8300,49,103,15.3855
07:24.9,8696,48,103,14.40375
07:25.0,8869,48,103,14.06825
07:25.1,9036,53,103,15.6275
07:25.2,8676,10,103,19.615
07:25.3,8256,11,103,19.8295
07:25.4,7812,12,103,20.77
07:25.5,7381,13,103,19.5875
07:25.6,7118,13,103,20.60775
07:25.7,6916,13,104,20.836
07:25.8,7671,17,104,20.78375
07:25.9,6998,18,104,19.8295
07:26.0,6637,18,104,19.736
07:26.1,5886,13,104,15.37175
07:26.2,5208,13,104,16.67525
07:26.3,5168,16,104,20.45925
07:26.4,5111,20,104,19.802
07:26.5,4957,20,104,15.171
07:26.6,5228,37,104,15.22325
07:26.7,5455,13,104,14.55225
07:26.8,5086,13,104,10.13575
07:26.9,5004,13,104,12.7125
07:27.0,4972,13,104,16.37825
07:27.1,4896,13,104,16.029
07:27.2,5096,36,104,16.74125
07:27.3,5503,41,104,14.76675
07:27.4,5826,49,104,12.02775
07:27.5,6441,54,104,13.466
07:27.6,6833,64,104,13.5045
07:27.7,7387,65,104,13.63925
07:27.8,7738,66,104,15.721
07:27.9,8067,29,104,15.4515
07:28.0,7982,39,104,15.4515
07:28.1,8127,6,104,18.99625
07:28.2,7497,7,104,13.69425
07:28.3,7129,7,104,19.5215
07:28.4,6793,10,104,20.87725
07:28.5,6410,10,104,20.99825
07:28.6,6119,10,104,19.57375
07:28.7,5563,10,104,20.87725
07:28.8,5113,10,104,21.0505
07:28.9,4820,10,104,19.5215
07:29.0,4714,10,104,20.90475
07:29.1,4612,16,104,20.891
07:29.2,5037,25,104,19.62875
07:29.3,5074,26,104,19.84325
07:29.4,5151,26,104,14.52475
07:29.5,5024,10,104,13.76025
07:29.6,4380,8,104,14.61825
07:29.7,4560,14,104,17.10425
07:29.8,4767,22,104,19.81575
07:29.9,5141,33,104,15.0885
07:30.0,5409,34,104,14.4175
07:30.1,6083,35,104,13.90875
07:30.2,6351,35,104,13.3175
07:30.3,6287,35,104,14.91525
07:30.4,6572,35,104,15.34425
07:30.5,6567,19,104,15.8145
07:30.6,6549,27,104,16.205
07:30.7,6583,31,104,16.62025
07:30.8,6747,44,104,15.2645
07:30.9,7396,59,104,16.68625
07:31.0,8404,22,104,13.8675
07:31.1,7921,25,104,19.494
07:31.2,7725,25,104,20.165
07:31.3,7545,25,104,20.77
07:31.4,7301,25,104,19.33175
07:31.5,6883,25,104,18.16575
07:31.6,6611,25,104,15.0225
07:31.7,6463,25,104,14.929
07:31.8,6947,49,104,15.12975
07:31.9,6868,15,104,16.47175
07:32.0,6355,12,104,13.29
07:32.1,6694,12,104,13.23775
07:32.2,6483,12,104,20.0165
07:32.3,6262,11,104,20.8635
07:32.4,6202,25,104,19.56
07:32.5,6793,39,104,20.82225
07:32.6,6898,39,105,17.98975
07:32.7,7329,39,104,12.39075
07:32.8,6957,7,104,12.8335
07:32.9,6403,8,104,18.152
07:33.0,6317,13,104,19.56
07:33.1,6562,29,104,20.42075
07:33.2,6803,32,104,13.30375
07:33.3,7075,33,105,14.258
07:33.4,7123,33,105,15.94925
07:33.5,7275,33,105,13.7465
07:33.6,7393,33,105,15.00875
07:33.7,7539,33,105,14.9015
07:33.8,7625,33,104,13.477
07:33.9,7878,44,105,15.46525
07:34.0,8216,46,105,16.15
07:34.1,8370,10,105,19.42525
07:34.2,8159,10,105,20.70125
07:34.3,7292,11,105,19.4665
07:34.4,6833,11,105,20.75625
07:34.5,6210,11,105,20.7975
07:34.6,5903,11,105,19.56
07:34.7,5430,11,105,20.715
07:34.8,5337,11,105,20.75625
07:34.9,5032,11,105,19.62875
07:35.0,4772,11,105,20.9295
07:35.1,4675,11,105,20.5005
07:35.2,4595,11,105,19.62875
07:35.3,4580,17,105,20.099
07:35.4,4606,18,105,14.57975
07:35.5,4749,18,105,15.6275
07:35.6,4780,18,105,13.12775
07:35.7,4871,13,105,13.84
07:35.8,4663,13,105,14.632
07:35.9,4480,11,105,14.06825
07:36.0,4460,11,105,14.7805
07:36.1,4601,12,105,15.94925
07:36.2,4075,7,105,14.8465
07:36.3,4094,9,105,18.46
07:36.4,4474,11,105,21.012
07:36.5,4783,27,105,14.94275
07:36.6,4918,16,105,13.42475
07:36.7,4984,16,105,14.06825
07:36.8,4980,16,105,15.73475
07:36.9,5009,16,105,14.02975
07:37.0,4986,17,105,14.1095
07:37.1,5049,17,105,15.55875
07:37.2,4980,18,105,14.24425
07:37.3,5066,18,105,14.0545
07:37.4,5383,31,105,14.09575
07:37.5,5627,32,105,12.91325
07:37.6,5864,34,105,11.5575
07:37.7,6237,39,105,10.9525
07:37.8,6533,40,105,13.3175
07:37.9,6898,42,105,14.82175
07:38.0,7126,42,105,13.961
07:38.1,7411,43,105,15.52025
07:38.2,7712,43,105,15.49275
07:38.3,7955,43,105,14.57975
07:38.4,8173,43,105,16.4855
07:38.5,8400,43,105,16.7935
07:38.6,8949,47,105,16.447
07:38.7,9049,47,105,14.687
07:38.8,9351,47,105,15.73475
07:38.9,8924,10,105,13.70525
07:39.0,8765,15,105,18.01725
